length,state,mode,fitted_prob,draw
24,MA,fh,.00078545389,5
24.5,MA,fh,.00058632804,5
1.5,MA,pr,1.2274788e-07,5
2,MA,pr,1.5138902e-06,5
2.5,MA,pr,9.9016615e-06,5
3,MA,pr,.000049099148,5
3.5,MA,pr,.00018637217,5
4,MA,pr,.00053603988,5
4.5,MA,pr,.0012703995,5
5,MA,pr,.0025852746,5
5.5,MA,pr,.0047503421,5
6,MA,pr,.0079526715,5
6.5,MA,pr,.012121719,5
7,MA,pr,.01731465,5
7.5,MA,pr,.023260638,5
8,MA,pr,.029639438,5
8.5,MA,pr,.036001541,5
9,MA,pr,.042016637,5
9.5,MA,pr,.047357846,5
10,MA,pr,.051461186,5
10.5,MA,pr,.054371946,5
11,MA,pr,.055826508,5
11.5,MA,pr,.056082804,5
12,MA,pr,.054975208,5
12.5,MA,pr,.052709285,5
13,MA,pr,.049638215,5
13.5,MA,pr,.045926362,5
14,MA,pr,.041834887,5
14.5,MA,pr,.037544277,5
15,MA,pr,.033193272,5
15.5,MA,pr,.028956549,5
16,MA,pr,.03838826,5
16.5,MA,pr,.032736011,5
17,MA,pr,.027555702,5
17.5,MA,pr,.022899814,5
18,MA,pr,.018924806,5
18.5,MA,pr,.01549518,5
19,MA,pr,.012593819,5
19.5,MA,pr,.010069429,5
20,MA,pr,.0080562476,5
20.5,MA,pr,.0063802646,5
21,MA,pr,.0050163064,5
21.5,MA,pr,.0039101867,5
22,MA,pr,.0030615907,5
22.5,MA,pr,.0023291071,5
23,MA,pr,.0017971301,5
23.5,MA,pr,.0013753496,5
24,MA,pr,.0010513047,5
24.5,MA,pr,.00078478124,5
1.5,MA,sh,1.5585553e-07,5
2,MA,sh,1.9222180e-06,5
2.5,MA,sh,.000012572345,5
3,MA,sh,.000062342209,5
3.5,MA,sh,.00023664063,5
4,MA,sh,.00068062101,5
4.5,MA,sh,.0016130527,5
5,MA,sh,.003282577,5
5.5,MA,sh,.0060316082,5
6,MA,sh,.010097672,5
6.5,MA,sh,.0153912,5
7,MA,sh,.021984771,5
7.5,MA,sh,.029534517,5
8,MA,sh,.03763381,5
8.5,MA,sh,.045711905,5
9,MA,sh,.053349398,5
9.5,MA,sh,.060131241,5
10,MA,sh,.065341339,5
10.5,MA,sh,.069037192,5
11,MA,sh,.070884079,5
11.5,MA,sh,.071209505,5
12,MA,sh,.069803163,5
12.5,MA,sh,.066926077,5
13,MA,sh,.063026674,5
13.5,MA,sh,.058313657,5
14,MA,sh,.053118628,5
14.5,MA,sh,.047670748,5
15,MA,sh,.042146187,5
15.5,MA,sh,.036766734,5
16,MA,sh,0,5
16.5,MA,sh,0,5
17,MA,sh,0,5
17.5,MA,sh,0,5
18,MA,sh,0,5
18.5,MA,sh,0,5
19,MA,sh,0,5
19.5,MA,sh,0,5
20,MA,sh,0,5
20.5,MA,sh,0,5
21,MA,sh,0,5
21.5,MA,sh,0,5
22,MA,sh,0,5
22.5,MA,sh,0,5
23,MA,sh,0,5
23.5,MA,sh,0,5
24,MA,sh,0,5
24.5,MA,sh,0,5
1.5,MA,fh,1.2956149e-07,6
2,MA,fh,1.5979248e-06,6
2.5,MA,fh,.000010451293,6
3,MA,fh,.000051824594,6
3.5,MA,fh,.0001967175,6
4,MA,fh,.00056579494,6
4.5,MA,fh,.0013409181,6
5,MA,fh,.0027287807,6
5.5,MA,fh,.0050140289,6
6,MA,fh,.0083941165,6
6.5,MA,fh,.012794585,6
7,MA,fh,.018275769,6
7.5,MA,fh,.024551814,6
8,MA,fh,.031284694,6
8.5,MA,fh,.03799995,6
9,MA,fh,.04434894,6
9.5,MA,fh,.049986631,6
10,MA,fh,.054317746,6
10.5,MA,fh,.057390079,6
11,MA,fh,.058925383,6
11.5,MA,fh,.059195906,6
12,MA,fh,.058026828,6
12.5,MA,fh,.055635128,6
13,MA,fh,.052393582,6
13.5,MA,fh,.04847569,6
14,MA,fh,.044157103,6
14.5,MA,fh,.039628323,6
15,MA,fh,.035035796,6
15.5,MA,fh,.0305639,6
16,MA,fh,.030487889,6
16.5,MA,fh,.025998881,6
17,MA,fh,.021884689,6
17.5,MA,fh,.01818699,6
18,MA,fh,.015030048,6
18.5,MA,fh,.012306245,6
19,MA,fh,.010001988,6
19.5,MA,fh,.0079971226,6
20,MA,fh,.0063982573,6
20.5,MA,fh,.0050671948,6
21,MA,fh,.0039839414,6
21.5,MA,fh,.0031054635,6
22,MA,fh,.00243151,6
22.5,MA,fh,.0018497728,6
23,MA,fh,.0014272775,6
23.5,MA,fh,.0010923002,6
24,MA,fh,.00083494437,6
24.5,MA,fh,.00062327186,6
1.5,MA,pr,1.2196860e-07,6
2,MA,pr,1.5042792e-06,6
2.5,MA,pr,9.8388000e-06,6
3,MA,pr,.000048787435,6
3.5,MA,pr,.00018518897,6
4,MA,pr,.00053263677,6
4.5,MA,pr,.0012623343,6
5,MA,pr,.0025688617,6
5.5,MA,pr,.004720184,6
6,MA,pr,.0079021826,6
6.5,MA,pr,.012044764,6
7,MA,pr,.017204726,6
7.5,MA,pr,.023112966,6
8,MA,pr,.029451268,6
8.5,MA,pr,.035772979,6
9,MA,pr,.041749891,6
9.5,MA,pr,.047057189,6
10,MA,pr,.051134478,6
10.5,MA,pr,.05402676,6
11,MA,pr,.055472087,6
11.5,MA,pr,.055726759,6
12,MA,pr,.054626189,6
12.5,MA,pr,.052374657,6
13,MA,pr,.049323082,6
13.5,MA,pr,.045634791,6
14,MA,pr,.041569296,6
14.5,MA,pr,.037305921,6
15,MA,pr,.032982539,6
15.5,MA,pr,.028772715,6
16,MA,pr,.039291833,6
16.5,MA,pr,.033506539,6
17,MA,pr,.028204298,6
17.5,MA,pr,.023438822,6
18,MA,pr,.019370252,6
18.5,MA,pr,.015859902,6
19,MA,pr,.012890248,6
19.5,MA,pr,.01030644,6
20,MA,pr,.0082458733,6
20.5,MA,pr,.0065304409,6
21,MA,pr,.0051343786,6
21.5,MA,pr,.0040022233,6
22,MA,pr,.0031336534,6
22.5,MA,pr,.002383929,6
23,MA,pr,.0018394303,6
23.5,MA,pr,.001407722,6
24,MA,pr,.00107605,6
24.5,MA,pr,.00080325315,6
1.5,MA,sh,1.5585553e-07,6
2,MA,sh,1.9222180e-06,6
2.5,MA,sh,.000012572345,6
3,MA,sh,.000062342209,6
3.5,MA,sh,.00023664063,6
4,MA,sh,.00068062101,6
4.5,MA,sh,.0016130527,6
5,MA,sh,.003282577,6
5.5,MA,sh,.0060316082,6
6,MA,sh,.010097672,6
6.5,MA,sh,.0153912,6
7,MA,sh,.021984771,6
7.5,MA,sh,.029534517,6
8,MA,sh,.03763381,6
8.5,MA,sh,.045711905,6
9,MA,sh,.053349398,6
9.5,MA,sh,.060131241,6
10,MA,sh,.065341339,6
10.5,MA,sh,.069037192,6
11,MA,sh,.070884079,6
11.5,MA,sh,.071209505,6
12,MA,sh,.069803163,6
12.5,MA,sh,.066926077,6
