iteration_2024,length,draw,n_fish_population_2024,state,mode,fitted_prob
70,14.5,11,8680162.957039129,CT,fh,.01111897
70,15,11,5145006.231689453,CT,fh,.0068908297
70,15.5,11,2716163.283203757,CT,fh,.0041119456
70,16,11,1237593.109863281,CT,fh,.002385997
70,16.5,11,690932.8907470703,CT,fh,.0013477742
70,17,11,526609.9375004442,CT,fh,.00073661719
70,17.5,11,418038.25,CT,fh,.00039439899
70,18,11,389178.25,CT,fh,.00020571559
70,18.5,11,389178.25,CT,fh,.00010722952
70,19,11,389178.25,CT,fh,.000051411411
77,4,12,21060039.44018555,CT,fh,.000018711491
77,4.5,12,21742943.87890625,CT,fh,.00012480904
77,5,12,21983744.40625148,CT,fh,.00053767173
77,5.5,12,21326704.93115234,CT,fh,.0017419724
77,6,12,19294795.2773512,CT,fh,.0045925356
77,6.5,12,17060568.70166016,CT,fh,.010163194
77,7,12,16661248.04882813,CT,fh,.019736756
77,7.5,12,17063795.74609375,CT,fh,.034081105
77,8,12,17317958.3828125,CT,fh,.051722307
77,8.5,12,17690790.51564214,CT,fh,.067930855
77,9,12,18135824.4765625,CT,fh,.077886581
77,9.5,12,17779989.87304688,CT,fh,.080167681
77,10,12,17131300.49121094,CT,fh,.13589521
77,10.5,12,17775787.84402466,CT,fh,.11794215
77,11,12,19303586.78125007,CT,fh,.09985508
77,11.5,12,20042918.5234375,CT,fh,.081796512
77,12,12,19664791.76464844,CT,fh,.064244598
77,12.5,12,18995725.3079834,CT,fh,.048580691
77,13,12,17170521.85498071,CT,fh,.035258245
77,13.5,12,13587240.80737305,CT,fh,.024655009
77,14,12,9176942.382812716,CT,fh,.016591106
77,14.5,12,5752548.90039565,CT,fh,.010715314
77,15,12,3421287.888916016,CT,fh,.0066727833
77,15.5,12,1810538.9667976,CT,fh,.0039952924
77,16,12,825256.4975585938,CT,fh,.002319471
77,16.5,12,461641.8942871094,CT,fh,.0013137506
77,17,12,352379.5937501363,CT,fh,.00071950484
77,17.5,12,279729.15625,CT,fh,.00038523669
77,18,12,260417.578125,CT,fh,.00020093659
77,18.5,12,260417.578125,CT,fh,.00010473846
77,19,12,260417.578125,CT,fh,.000050217073
79,4,13,12408895.19555664,CT,fh,8.0611408e-06
79,4.5,13,15225534.07226563,CT,fh,.000065398461
79,5,13,18388699.52343955,CT,fh,.00034760957
79,5.5,13,20543949.73046875,CT,fh,.0013431027
79,6,13,20979755.67969551,CT,fh,.004163695
79,6.5,13,20625877.31542969,CT,fh,.010778096
79,7,13,20947207.83203125,CT,fh,.022747336
79,7.5,13,20985885.109375,CT,fh,.039307043
79,8,13,20438994.84960938,CT,fh,.057337672
79,8.5,13,20331541.25000517,CT,fh,.072040342
79,9,13,21015240.25,CT,fh,.08127366
79,9.5,13,21084074.3515625,CT,fh,.083488002
79,10,13,20814028.26367188,CT,fh,.14010276
79,10.5,13,21989585.44885254,CT,fh,.11850569
79,11,13,23985919.5781252,CT,fh,.097337209
79,11.5,13,24862187.30859375,CT,fh,.077578887
